"learning_rate","max_bin","num_leaves","nrounds","boosting","max_depth","bagging_fraction","feature_fraction","accuracy"
0.05,2048,70,150,"gbdt",20,1,1,0.601679686103819
0.01,2048,70,150,"gbdt",20,1,1,0
0.1,256,40,100,"dart",20,1,1,0
0.05,256,40,100,"dart",20,1,1,0
0.01,256,40,100,"dart",20,1,1,0
0.1,512,40,100,"dart",20,1,1,0.647269889556518
0.05,512,40,100,"dart",20,1,1,0.644447246458541
0.01,512,40,100,"dart",20,1,1,0
0.1,1024,40,100,"dart",20,1,1,0.631147166634234
0.05,1024,40,100,"dart",20,1,1,0
0.01,1024,40,100,"dart",20,1,1,0
0.1,2048,40,100,"dart",20,1,1,0.651484493830494
0.05,2048,40,100,"dart",20,1,1,0
0.01,2048,40,100,"dart",20,1,1,0.618843897809002
0.1,256,50,100,"dart",20,1,1,0
0.05,256,50,100,"dart",20,1,1,0
0.01,256,50,100,"dart",20,1,1,0
0.1,512,50,100,"dart",20,1,1,0
0.05,512,50,100,"dart",20,1,1,0
0.01,512,50,100,"dart",20,1,1,0.61092004463807
0.1,1024,50,100,"dart",20,1,1,0
0.05,1024,50,100,"dart",20,1,1,0.680754399272447
0.01,1024,50,100,"dart",20,1,1,0.624516983514891
0.1,2048,50,100,"dart",20,1,1,0
0.05,2048,50,100,"dart",20,1,1,0.697065761726429
0.01,2048,50,100,"dart",20,1,1,0.636608777496694
0.1,256,60,100,"dart",20,1,1,0
0.05,256,60,100,"dart",20,1,1,0
0.01,256,60,100,"dart",20,1,1,0
0.1,512,60,100,"dart",20,1,1,0
0.05,512,60,100,"dart",20,1,1,0
0.01,512,60,100,"dart",20,1,1,0
0.1,1024,60,100,"dart",20,1,1,0
0.05,1024,60,100,"dart",20,1,1,0
0.01,1024,60,100,"dart",20,1,1,0
0.1,2048,60,100,"dart",20,1,1,0.678500653288483
0.05,2048,60,100,"dart",20,1,1,0
0.01,2048,60,100,"dart",20,1,1,0
0.1,256,70,100,"dart",20,1,1,0.67413712306843
0.05,256,70,100,"dart",20,1,1,0
0.01,256,70,100,"dart",20,1,1,0
0.1,512,70,100,"dart",20,1,1,0.679276061047724
0.05,512,70,100,"dart",20,1,1,0
0.01,512,70,100,"dart",20,1,1,0.633888396881689
0.1,1024,70,100,"dart",20,1,1,0
0.05,1024,70,100,"dart",20,1,1,0
0.01,1024,70,100,"dart",20,1,1,0.650247415638416
0.1,2048,70,100,"dart",20,1,1,0.70952093501666
0.05,2048,70,100,"dart",20,1,1,0
0.01,2048,70,100,"dart",20,1,1,0
0.1,256,40,150,"dart",20,1,1,0
0.05,256,40,150,"dart",20,1,1,0
0.01,256,40,150,"dart",20,1,1,0
0.1,512,40,150,"dart",20,1,1,0.624798949972796
0.05,512,40,150,"dart",20,1,1,0.654465991270954
0.01,512,40,150,"dart",20,1,1,0
0.1,1024,40,150,"dart",20,1,1,0
0.05,1024,40,150,"dart",20,1,1,0.673489791622816
0.01,1024,40,150,"dart",20,1,1,0
0.1,2048,40,150,"dart",20,1,1,0
0.05,2048,40,150,"dart",20,1,1,0
0.01,2048,40,150,"dart",20,1,1,0
0.1,256,50,150,"dart",20,1,1,0
0.05,256,50,150,"dart",20,1,1,0
0.01,256,50,150,"dart",20,1,1,0.600005758469915
0.1,512,50,150,"dart",20,1,1,0
0.05,512,50,150,"dart",20,1,1,0
0.01,512,50,150,"dart",20,1,1,0
0.1,1024,50,150,"dart",20,1,1,0
0.05,1024,50,150,"dart",20,1,1,0
0.01,1024,50,150,"dart",20,1,1,0
0.1,2048,50,150,"dart",20,1,1,0
0.05,2048,50,150,"dart",20,1,1,0
